用户名,评论
枫原那啥子萬葉,BV1pL4y1N7rD
纳鲁火多儿,我过于沉重和气愤以至于没看下去[生病]
枫原那啥子萬葉,"BV1Ef4y1f7aM
BV1DW4y167iX"
Ren-showin,妈的，我气死了
摄恐DREAM,我真的申气了！
WatcherD,这个世界本来就是靠实力说话 有实力干啥都行
阿卡林5381,脱粉了，路转黑，你已经失去了当年的勇气了
冲击双皇的梦溪,老师能不能判聚众斗殴
No-99,但是，我们发了声又能怎样呢？每当这种恶劣现象发生后，都有很多人在网上发声，不知道你们还记不记得空姐顺风车、货拉拉女孩。假如我们每个人都发了声，周围似乎并没有改变。所以，女孩们还是得自己保护自己才是好的[难过]
bili_86955190686,仔细看视频被害人傍边有一对男女，女孩很害怕躲进了男孩的怀里，但是看到被害人被拽这头发拉出来，她挣脱男孩想冲上去制止但是被男孩拉住了。一个女孩当时都那么勇敢[委屈]
专业打非,好吧，看到这个新闻我吃了三碗饭，对于我一个吃不起凌晨两点烧烤的人来说，只能当新闻来看，无悲无喜，无恶无善。
叮当吴响应o,万人血书跪求老师当被害人的律师
刘小发yyds,首先我知道这个事是非常可恶恶劣，但不知道为啥我基本没啥反应[怪我咯]
是否记得许可馨,希望大家能让这件事的热度保持久一点，让中国人的记忆久一点儿
混水摸鱼的,这互联网真神奇，唐山闹的沸沸扬扬，打人者被打者性别一换就没什么人了解，唯一几个评论还是在洗打人者的，你们说互联网咋就这么神奇呢[怪我咯]
尼克娟,突然感觉到女人在社会上好难🤯啊啊啊啊
小废物是罐罐捏,果然b站的评论，关注点都在不要挑起性别上，心真的凉了一半。不支持对立，但也逃不开性别。
账号已注销,为啥我没感觉到生气和愤怒.....我感觉我i也不是坏人啊QAQ，是我太冷血了吗
性味升降归经,罗老师来打顺风局了啊，令人感叹
Simae楼小楼,我很肯定，我如果在现场，我一定会冲上去帮助那个女生，因为我也是女生。
可爱玲珑の小丽萨,其他视频播放量低的离谱
一丶叶_,几天前我记得评论还是7.2万，这今天一看就6.8万了
天之月未来,毫无疑问，最后一句非常令人深思，如果真碰到你真的会那样做吗，我相信更多人是不会，可能是看热闹，可能是想帮却不敢，可能是躲一边报警，最后这句话不止可以用于这个事件，他可以用做大部分网友的自信评论，因为没有遇到过，所以自信，然后用自己的世界观批判别人，大多时候，不经历一次，没有任何人可以确定自己会怎么做。
叔为你洗手做羹汤,此评论只为该事件增加热度
没想好昵称的欲晴,此条评论仅用于增加热度+1
噜啦啦噜啦啦lm,拿刀了，故意杀人，情节残忍，你说的这些我不赞同
星無Hoshimu,转载，老兵受害，实名举报！-哔哩哔哩】 https://b23.tv/wfJlDx8
黄山张家辉,播放量1999.9w[doge]
苗苗黏黏,此评论仅为维持热度，保护实名举报人员。
爱则为之计深远,准备累计2000万+播放量了，希望能有更多的热度吧，也希望更多的人看到，思考到，学习到……
叉烧貓,1300百万白嫖大军[吃瓜]
拓古萨,事件有热度是好事吧，引起更多人的注意，同时这个视频好像是罗老师所有投稿里播放量最高的一个，可见这件事的影响之大 感谢罗老师的发声
小女友的半熱熔胎,有个评论到处说一场戏而已???
灾厄菇透宝,严惩这种人，也不希望这种事件上升到性别对立的层次
新人看漫画,千万级播放量，我用B站以来，第一次看到
幽ヽ陌,b站历史最速1千万
WarriorBear,你难道就无罪了吗？
用硬币换个名字的小染,这视频一天不到就千万播放，唉，看到这么多人关注这个事，也算是一种慰藉了
蜃幻虚梦,不到一天一千万播放，不愧是罗老师
永远的初梦,弹幕哪个脑缠说的指责他人就是指责自己啊，你为什么一定要把自己带入伤害者的情景?你是那种人不代表我们也是，我们是守法好公民谢谢
封弊者zxc,B站24小时破千万播放罗老师应该是唯一一个吧
qqww36,不到一天就一千万播放量，说明这件事非常严重。
火龙果汁,感觉什么都没说
雪融Love,@15花开 谁给这位受害者发声，人家父亲评论区都封了
佩佩232,b站弹幕是不是出bug了，怎么刷了2分钟的老师好
缺钱的社会人士,有些评论还在骂罗老师，真的服了[疑惑]
账号已注销,评论区动不动就死刑，笑死
差分信使,回到b站，才发现是正常人居多。
杳杳星光照夜长,至于怎么预防这种情况的发生，家长告诫的大晚上的少去“妖魔鬼怪”出没的地方总是没错的，那种情况周边都是些什么人，能有几个人会帮忙，少去那些地方那么相对应的风险就少了很多。（评论有极其强烈的个人偏见）
点头驴,我希望这两个女生有点事，又不希望她们有啥大事，她们俩一点事没有的话我担心凶手不会得到重罚[难过]
我和蜂蜜谁最甜,我在评论区里面说一遍，辱骂我们唐山人的不代表我们大众的素质，而是个别那几个人的道德素养有问题!!!
寻找一个失落的灵魂,"然后就是罗老师为什么不探讨一下大河子好河南村镇银行案呢？难道只有最焦点的事件才值得发声，而不是最严重的事件最值得发声吗？单纯的追逐热点是会被热点吞没的
之前您退网似乎就是这个原因吧"
十画鸭,敬佩站出来的女生，无视那些退缩的男生，可别想什么都没做还要表扬自己是爱惜生命一番
好运连连的不羡,我朋友圈里没有一个男性为她发声，都是女性发声。
Taylor-Swiftie,6.5万人同时观看一个视频。我的妈耶。我来b站六年第一次见[吃瓜][吃瓜][吃瓜]
_EarthOnline,罗老师 你要被张雨绮送去服兵役了
IcecreamBlack,身为一个男生，队于这件事情本身特别愤怒，可是看到一些人的评论，我真的不知道该如何表达，好像我不配说话了似的，横竖都是错。这是跟性别有关，但是请不要搞性别对立，这样对谁都没好处。
丶Vitamin_C,关于我删一个老师好的弹幕消失一片……
MincanaH,建议关闭弹幕食用
帐号已注销474235070,这几天出了很多事，社会不怎么安定了，看来以后出门也得带个防身武器了
暄晔,【服役十二年军人实名举报河北省黄骅市公安局副局长-哔哩哔哩】 https://b23.tv/h1v3oZR
一品带刀城管,打开朋友圈看了看，以为我是施暴者
红尘太平人,"https://b23.tv/L9uj5JG
 https://b23.tv/MDwQoLv
https://b23.tv/eD3zJw4
 https://b23.tv/cP5G8Uq"
bili_511288341,然而一些没脑子的人的愤怒带来的根本不是正义[笑哭]
火锅可以随便吃,看到弹幕里有个人说取关了 你取关就取关呗 没人想知道你是否想关注
DD狄,BV1WT4y1S7yQ
_Zweiiii_,评论区有内味辣
西卡___李浩宇,【踹伤猥亵男被刑拘，保护见义勇为还要等多久-哔哩哔哩】 https://b23.tv/Ph55jfW
摸鱼小天使,想了解一下，货拉拉案罗老师愤怒过吗
唔千败,啥时候能讨论下货拉拉案件啊，不要偏心嘛罗老师
晴天乌云R,"BV1LF411u7Xx
BV1o94y117r7
同样是犯罪，为什么热度差这么多呢🧐"
pooooi-,大家关注这件事情是因为“女生”被打吗？关注这件事情的不乏男性吧。怎么，这件事情的恶劣程度不值得获得这样的关注吗？获得这样大的关注是有谁急了？石沉大海的恶劣事件中的受害者性别为男女的都有，什么叫“性别互换，评论过万？”。正常人（划重点）骂的都是这几个疑似黑社会的人而不是男人，这是在干嘛呢？
偏偏我是笨蛋,只希望大家不要被各种评论所控制，我们的敌人不是男人，而是坏人。
熊爱吃橘子,全站排名第一的视频，热门单上居然翻不到。真有你的，叔叔。
天罡伏魔,说的太好了，洒家就恨那种冷漠的中庸人
绝对搞哥,"BV1Y3411g7G9
兄弟们，更加让人愤怒的事来了，毫无流量"
秃头小宝贝爱你,最近看视频，不管是不是蹭热度，我都会一个一个点赞。
电子暖水袋,你在蹭什么啊？
bili_27931011,男人打女人每天都在发生，大家已经麻木了
俏妞_xxapple,https://b23.tv/BV1LF411u7Xx
pia一枪,有些女人看到那些见义勇为然后牺牲的事件心里不会有一点波动，但是她们看到同性无人帮忙的时候就会跳出来指责，因为她们害怕自己也没人帮忙，她们不会考虑见义勇为的人有什么下场她们只考虑自己，她们管这叫“共情”，再加上这次事件里是男的没帮忙，那性别对立吵的就不可开交了，不过也就图个乐，毕竟她们如果在场都是会一窝蜂冲上去的，佩服她们[呲牙]
背锅系美男子,好像什么都说了，又好像什么都没说
嘻嘻哈哈vo,https://b23.tv/BV1LF411u7Xx https://b23.tv/BV1o94y117r7
贝琪淇想考四六级,那就是普通的刑事案件，只要凶手被逮捕判刑就足够了，关注这种事儿就是在浪费时间。
不打广告不行吗,屁大点事，我罗老师也说，因为我喜欢钱
双持滋崩人,只有看到舆论一边倒的才敢出来说几句是吧[给心心][给心心][给心心]
曼联足球专家,罗翔老师您真是人如其名[给心心][给心心]
莫里斯与酒,我超，螺圣！[原神_欸嘿]
33097639582_bili,人教插画人教插画这么大的事不见你站出来说几句，请问一下你是不是也是那种只会说漂亮话的人？
阳光男该小丑熊,把原视频音量调最大，那个绿外套打人男进面看了一眼女孩，然后给那几个男的说的是要把那个女的怼路边🌿，然后走到那个女孩身边摸，那个女孩问他干啥呀你，打人男说🌿你（复制的，望周知🙏）
妖见奈落,兄弟们网上这么牛逼，怎么现实里看不到[妙啊][妙啊]
怅然孤风,看着原视频，我也是气的发抖，很有想打那几个人的冲动，当然如果我身在现场，并不一定有这种想法，咨询看多了，就发现这事情越来越离谱，抖音网暴的那几个抖音号，毫无逻辑可言，各种⭕王都把一个正常的善恶是非事件提升到了男女对立层面，我就看着无语了
阿伪罗siuuuu,老师，说一说最近17岁女子杀害4岁男童的案子吧，真心求教
军师胡,结束时看到一条弹幕很心疼:我一定会的，因为我家里就有施暴者。。。。。。
冰阳1992,7000观看热门要翻好几下，这是限流了吧
千年永不见,唐山打人事件为什么没上B站热搜
叁月熹,点开最新评论感受物种多样性
凤翔の阿郎,这哥们算是蹭热度吗
离歌梦浅,"一些所谓理智的人，你们在国家有战争的时候也绝不会去参军去在前线奋斗，因为你们知道这更是一定会造成生命危险的，你就是觉得自己性命更重要觉得自己小家更重要的人。我相信如果在现场有一名军人，他一定会毫不犹豫的冲上去保护被殴打的女生。难道他不知道自己势单力薄？难道现场帮忙的女生不知道自己也会被打吗？那他们为什么上，因为她们有维护正义的心，有不忍同胞受苦的热血，有与恶势力抗衡到底的勇气！
某些理中客，你不敢上你就承认自己是个自私的怂蛋吧，你不敢面对也不敢承担后果。你怎么还好意思觉得自己自私的决定是理智的，怎么好意思还去指责冲上去的人是愚蠢的？怎么有脸为自己的自私懦弱洋洋得意？
为众人抱薪者，不可使其冻毙于风雪。为苍生治水者，不可使其沉溺于湖海。为当下奋斗者，不可使其淹没于尘埃。为未来奠基者，不可使其从宽而入窄。悲兮叹兮，若善者不得善终，恶者可更恶乎？"
嗯好好啊,"（嘿，很抱歉打断你🤚

耽误您20秒时间

如果可以的话

请你点进去看看这位父亲
@15花开    
关注一下河南南阳二中的校园恶劣事件
也许你的这一眼
就会让真相大白
拜托了（转）

注：朋友，我的本心只是想去让更多人知道，请各位不要误会这是道德绑架啊！"
棉花糖奶芙,明明是很严肃，很认真的在回答问题！为什么评论区有人抖机灵？不知道分事情！分场合吗？好玩吗？
jjlhyr,建议看看张捷大佬的讲解，
西琳家的贝拉,跟着热度做视频的东西
隔壁老实人老王,【路人小伙长的太帅，三名美女强行将其带走：这是你的福气！-哔哩哔哩】 https://b23.tv/o0wdxzG
滑稽国大元帅,https://b23.tv/BV1cY411u7sA
九尺莲花,情理是基础，法是处置手段。一群女的打一个男的。我们要从情理出发，一群女的无事生非、小题大做欺负人去打一个男的几乎不可能。要调查原因，比如一个渣男骗了好多女的，这些女的发现了一起去打这个男的，大家都觉得该，只要没致残，我们就当看不见，随便打。
onlythismoment,为什么旁人不敢帮，罗老师你敢说吗？@罗翔说刑法
AixLeft丶1,wb上说上是最严重的女生已经抢救无效了，她才19岁啊
鷹原羽依里,根本没人提及那两个抡出去的啤酒瓶[热词系列_知识增加]
套路我没有,girl help girl，我不配帮助girl[嫌弃]
通辽驻峡谷使馆,删我评论？
小药片灬丨,轻伤2级呦[星星眼]
DlGun,感觉不如【路人小伙长的太帅，三名美女强行将其带走：这是你的福气！-哔哩哔哩】 路人小伙长的太帅，三名美女强行将其带走：这是你的福气！
可莉最可爱111,女的一成受害者就开始普法了是吧
光遇伪孤狼小甜甜,我要气死了，dy评论区更气人！！！居然有人说“被摸了被打了，你报警啊，黑衣服女的砸酒瓶就是整件事的导火索”我心说这人脑子别是有坑？？？那男的又不是傻，他会让你当着他面先报个警再继续动手吗？？？那男的都快顶那女的俩半身形了吧，这时候女生不抄家伙还空手劝架吗，那能拉动那男的么。动手了尚且如此，要是不动手不早让人拖小巷了？
沃z,"此条评论专做用于增加热度
审核员你记着，今天你按下去删除，这个国家就少了一分正气
愿中国青年都摆脱冷气，只是向上走，不必听自暴自弃者的说话。能做事的做事，能发声的发声。有一分热，发一分光，就令萤火一般；也可以在黑暗里发一点光，不必等候炬火。
----鲁迅（复制）"
弍酒喵,［增加热度 专用评论］
早安我叫核酸人,此评论用来增加热度
野良犬に乾杯,【继唐山以后，河北沧州退伍老兵实名举报黑社会-哔哩哔哩】 https://b23.tv/lp7bVi9
小白fanCode,此评论只为该事件增加热度
冰箱里的火焰,能看到我评论吗
睡觉啊睡,此评论仅为维持热度
面白い魂善良な心,删了好多评论
MTN_洛沧,此评论仅为维持热度
本咔咔,此评论仅为维持热度
老约翰可汗666,【此条评论专做用于增加热度。】
枫青荫绿,刚才在b站其他视频看到一句评论：罗翔路过那里都得被判三年……
牡蛎摸鸭蛋114,我们管不了的啦，生气也没啥用，所以这种事，看看就行
余不成,b站删评技术成熟
旗随峰动,还是B站的评论比较正常[藏狐]
大会员没了就注销,罗老师不发声，这事在B站都没啥热度，鼠鼠的胆子啊，真的和鼠鼠一样
_月下正徒_,“这不是男人或者女人的危机，这是所有正常人共同的危机。所有正常人，不论男女，都必须应该站出来抵抗这种恶霸，防止这种事情继续蔓延，而不是袖手旁观，觉得这件事跟自己的性别无关，觉得自己的年龄，颜值，所在城市，存款阶级能确保自己不卷入这种疯狂的暴行。”——唐山打人事件匿名评论
鼠鼠我啊已经摆烂了,我看完视频是比较气愤的，看见一些评论更气人[无语]
-真仙马良-,不到一天，千万播放，太强了
-fuwanini-,一天不到1000万播放，事情很严重
YMIRFRITZ,还差1000播放就1000万了！！！
铁鞭横空踏,"所做让人愤恨！所为令人发指！
但是微博的评论让我感觉好像人是我打的一样[辣眼睛]"
宇与鱼雨遇余,还是b站的言论三观正，我在抖音刷到这个事件，评论区一堆女的就开始搞性别对立了，真的我是不敢相信有人的三观能扭曲成这样，而且还这么多！
新的青少年,最可恶的是，有的人还在说受害者有罪论，冷嘲热讽，气得我退出百度热搜，来B站看罗老师
小白1-V_V-1,原视频看的很生气，部分评论看着更生气。如果我在现场，想冲上去制止只是因为我想冲上去。而不是因为是男性，就必须得被道德绑架，必须得冲上去。
一身正气啊,还是我们b站的同志们志同道合，其他视频软件打架我害怕得很，在这里才能找到家的感觉[doge][doge][doge][doge]
略略略田各田各田各,看了一下别的视频评论区，玩受害人有罪论的还真不少[尴尬]罗老师这里还算干净。
碎碎的星尘,弹幕：应该杀了所有男性[尴尬]。实在是给罗老师招黑了。
绝无回旋余地i,wc.6小时5百万播放
平平无奇的瓦西里,我就知道这种流量新闻罗圣一定不会放过
以梵之名Lin,特么我刚点评论给串出来一堆刚刚
猫雷家的小可莉,#广东揭阳普宁17岁女子残忍杀害4岁男童#大家别只顾着看唐山打人事件，这个也很重要，顶顶不要沉了！！
叶澋渊,性别一换，高下立判
神奇小一_,看到罗老师发声真好 b站你再压[翻白眼]
Venom-----疯ing,B站热搜真有意思，原本这件事没上热搜，罗老师发表言论上热搜了[辣眼睛]然后在平常就拿其他up的个人作品压热搜，我关注的5个up被挂上去都被其他人冲了[微笑]
BEKKI的青蛙头套,这里的评论难得正常
岛风-10650,评论区某些人理解一下罗老师吧，别再刷那个17岁的野兽杀4岁男童了，罗老师没有那么多时间做视频，更何况不是每个案件都需要他说一下
三皇子,大多数人看到这个新闻后都十分愤怒和不平，但也有部分人收获了一双新拳套[初音未来_期待]
喵皇奶油酱,想起在b战看一个男的发视频吐槽自己女朋友因为这种事情恐慌，他觉得没必要，女朋友生气了不理他他还觉得自己的想法就是对的，觉得女朋友多此一举，还说就算发生在他们身上也不应该把事情闹大。。。。。下面评论区全是问他什么时候分手的[藏狐]姐妹找对象要擦亮眼睛哈，找到这种以后真遇到麻烦说不定还拿你去卖呢[藏狐]
小樊睡不着,两千多万播放
天赐的坑货,"此条评论专做用于增加热度。前面一句话请转换为：愿中国青年都摆脱冷气，只是向上走，不必听自暴自弃者的说话。能做事的做事，能发声的发声。有一分热，发一分光，就令萤火一般；也可以在黑暗里发一点光，不必等候炬火。
----鲁迅"
扬州的月亮,"此条评论专做用于增加热度
愿中国青年都摆脱冷气，只是向上走，不必听自暴自弃者的说话。能做事的做事，能发声的发声。有一分热，发一分光，就令萤火一般；也可以在黑暗里发一点光，不必等候炬火。
----鲁迅"
DarthLHR,增加热度
一只无脚鸟-,最后面那句真的绝了，如果在案发现场，你会不会挺身而出，像你想象中的那么勇敢正直吗
阿霖不是啊霖丶,https://b23.tv/BV1oa411L7EZ
黑猫白喵K,总算B站还是正常的，微博上简直了。。
WHISKY4869,《法治的细节︱没有愤怒，就没有正义》罗翔锐评
會飛的史萊姆,对于这件事，大家不用太担心，很多律师都在想方设法使案子往重的方向判，最低是故意伤害罪，稍微重一点就可以看是否有寻衅滋事罪，最重的话，许多律师正在看是否存在有黑社会性质犯罪，那么对于黑社会性质犯罪，这就不简单了，一旦有相关证据，最高可以判处死刑。
市井老梁,小A打小B，你觉得不对，去拉架。然后出手过程中伤害到了小A，不好意思，是你的问题。小B有防卫反击的权利，但你没有，你是主观要打人，所以，你和小A总得进去一个，你再去帮咯！
煌月洗礼,以后出门或者旅游，身上得到防具了[doge]穷生奸计，真就是只有鬼知道身边会发生什么……再加上一贯的“形式处理”……我宁愿防御过当[阴险]
名字抽奖,发了五六个评论一个没有活下来
塔博里茨菲,还能说话吗😃😃😃
那好吧zz,人和动物最大的区别就是懂得控制自己的情绪
多线程丶,7777
波挪吹雪,我昨天看到这个我哭了 真的很可怕这样的暴力事件
吃点沃柑,这次事件见义勇为，对方肯定会打你，反打肯定是正当防卫。
tt汤普森,罗夏何在，各位？
閪執咀,感觉都不是好惹的，那个女的上来直接骂粗口，刚开始那个男说什么我没听见，然后那个男的直接上手了，那个女的直接抡起东西砸过去，都是狠人
陆少楠,网上很多评论竟然在说女生应该先顺着他，这样就不会这么严重了，这种评论是正常人能说出来的吗
-程子菌-,BV1hr4y1V7Uh
嘿_球球,https://b23.tv/bfMqCz7
逍遥自在王半仙,在那种情况下，只有自身武力足够，才能自保，才能止恶
会磕瓜子的羊,是对罪恶的庇护
知了_niu,[撇嘴] 肯定得做点啥
吾乃大明战神朱祁镇,真的好希望能成为罗老师的学生啊！
空舟任自横,"他喝醉了，却能分辨男女
他喝醉了，却能伸手猥亵
他喝醉了，却能招招致命
他喝醉了，却能事后逃逸
他喝醉了，就该与青山长眠！！！！！"
神奇の赌怪,"恭喜九只已全部抓捕[支持][支持][支持]
我真的要气死了"
梦想当英语首脑,@Wweeeeeeeeeeeei  @内卷川
小阿绘,如果黄头发不是直接用酒瓶打男子头部，而是即使制止将两人拉开，会不会就没有后面酿成的惨剧。既然事件已经发生，黄发是不是也影响到判决。
我坐电车回去-,罗老师又写了一篇满分作文[妙啊]
嘀咕俄语的阿莉娅,想对评论区的发着奇奇怪怪的言论的一些人提个问题，坏的是究竟是人还是ta的性别？[疑惑]
疯批小刀客,大家可以尽情发声，要求严惩行凶者，但量刑这种专业的事还是交给法院来做吧[微笑]
球迷们无下限,b站是一个受害者有罪论甚嚣尘上的地方，也是个性别歧视极其严重的地方。我记得有个视频，就因为女顾客让出租车司机到地方叫她一下，竟然被司机直接驾车谩骂，然后评论区全是以恶劣言论诋毁女顾客，各种诅咒，感觉那些祸国殃民的都没这么被b站咒过。那个视频的评论区也是我举报成功率非常高的地方，大部分热评都被我举报被平台删除了
惠哀,罗老师，如果您能看到这条评论的话我想问一下，监控录像的录音好像录到那几个暴徒一开始就打算实施强奸。那如果我听到了他们的图谋，想着不坐以待毙趁其不备打过去以占上风，最后要怎么辩护才能使我的损失降到最低？有可能判处正当防卫吗？[笑哭]
烟罗酱w,不好意思打扰罗老师了，这里也发发其他up主的发声https://b23.tv/mo212oc我们也需要看到一些girl help girl的力量❤️
清月曜灵,没有勇气上前，最起码也要打电话报警
通辽大人物,不要说什么出警慢了，4分钟打完就跑，哪有那么快
Cruel-sun,真遇到的话，希望我可以挺身而出
玛德琳娜,罗翔老师最后说的很好，在镜头面前侃侃而谈，但现实中会为正义出手嘛？[tv_点赞]
近乡情怯l,原视频我主页有，完整版
巧克力特特,“所有人其实就是一个整体，别人的不幸就是你的不幸，不要以为丧钟为谁而鸣，它就是为你而鸣。”
呵呵hhhhhhh_,我会帮忙，帮一切我能帮的
客服17号,我是已经气的头痛了一天
一凉不凉de,同情他人 就是在同情自己 我为人人 人人才会为我！！！！
星心夜,这几个人好能跑啊[捂脸]
步穿秋酷,罗圣不讲邯郸，不说教程插画，面对一个可以讨好部分群体且会造成性别矛盾事情大讲特讲，你作为一个对年轻人有大影响的社会公众人物，刻意挑动社会矛盾好吗？[疑惑]
活久一点都幸福,道德和黑社会讲，如同鸡同鸭讲，不顶用
嫖白是念来过倒,罗翔！罗翔！罗翔！[打call][打call][打call][脱单doge][给心心]
想吃肉呀,那就不要怪我了！视别人的隐私生活于不顾，这种人必须严惩不贷
迟戈,https://b23.tv/BV1vF411V7MG 。。
刷抖音只为学习,女生是弱势群体，但如果所有女生都学像视频里女生一样动手而不受到处罚，那么更多人会学其以暴制暴，当一个弱势群体学会以暴制暴时，会不会是对其更大的不保护呢？
网圣,被人羞辱并扇了耳光，是否可以拿起酒瓶砸对方的太阳穴，如果对方没躲开被砸成轻伤以上，你认为这种手段不用负刑事责任吗，普通纠纷，应该避免矛盾升级，等自身安全后再考虑报警，而不是激化矛盾，让结果失控，这几位女子行为，2个酒瓶子砸向太阳穴和后脑，惹怒了同行的人引发暴力殴打，也要付很大责任[微笑]
暴走哥2020,那个白衣女开始两个酒瓶怎么说，如果没有这两酒瓶，应该不会有后面的爆打
雨雪往矣,严厉打击！
看看电影的账号,可算蹭到了
嘉图Qwerty,感觉b站评论大家都很正，但是我不理解微博那些搞性别对立还有不帮忙就是帮凶的人都是咋想的…这和受害者有罪论又有啥区别呢？
喂门开了,如果孔子的话都对，那么“他还是个孩子”也没毛病。
古月书虫,难道这一事件的本质，不是酒客互殴吗？
爱玩音游的辉夜,如果不重判，天理难容！
熊爱吃橘子,申震螺糊市民们，小心西装革履的人，更要小心景茶。
23年的森林,看评论也有男的是受害者的视频，为什么没有人关注呢
迷森x,为什么评论都在说不要挑起性别对立？这件事本身不就和性别有关吗？大多数正常人都不会专门会攻击所有男性，但这种事情的发生概率在男性身上多还是女性身上多，有个脑子的都知道，上学的时候学过概率吧？性别是这类事情离不开的话题，既然正常男性不会做出这种事情，那不就更应该和那种人割席并且支持严惩吗？为什么总有人一副理中客的样子在一旁说与性别无关？
在看什么捏,性别错误，评论三条；性别正确，评论过万[给心心][给心心][给心心]
哎七,恐男又严重了。
迟戈,https://b23.tv/BV1vF411V7MG 。。。
BOOM斑马,人人都只是普通人，身上都是肌肉，个个都能打，那谁不去救啊？而且打架人多了会不会变成聚众斗殴啊？
蚌埠侍郎,我渴望有价值的对手
柚姚烨,胡说八道
昨日情人鹅鹅鹅,抖音快手那些平台居然还有人道德绑架路人说为什么不帮忙而且道德绑架的那些人大部分都是女的而且人家也没有义务帮忙还有网暴无辜的人这个网络到底怎么了
卖鱼强的jo太郎,难得罗老师这么紧跟时事
little羽翼,我说句实话：性别一换屁事没有[小A和小B_喝茶]
桃李醴酪,麻烦各位看看我的动态置顶，谢谢大家了
晴凉空羽C,如果我在现场，唯一有用的办法应该就是镇定剂和麻药
悲伤薄荷鸡蛋汤,我相信大多数人对这件事气愤的点是被害人在当下是无解的。
名字抽奖,天天口中挂着男女对我来说全是犯人没有什么男女天天喊着平等累不累啊。
川岛芳子梦回二仙桥,这件事本身应该是扫除黑恶势力，不懂为什么要引导男女对立上来，没有人煽风点火我不是很认同
诺曼底伯爵20160216,为什么
魔绿,BV1Tr4y137zjBV1NL4y1N7rZ
小小杀_,有的人发其他案件，希望你们是真的关心那个事件的受害者，想要为他们发声，而不是有其他目的。
穷途末路唯枭雄,那揭阳案呢？
ベー-,【安徽男童坠楼身亡，事发地一女住户被警方带走，目击者诉揪心一幕-哔哩哔哩】 https://b23.tv/tZXnCxM。
意行四海,抛开事实不谈，屏幕前的你就没一点责任[鼓掌]
最最最爱大宝贝,你几天没睡觉了？？是不是晚上在床底哭啊？？
善冷绯烟,当笑话看
头秃lsp,这个事情说重好像没有那么严重，说轻那是不可能的，我更在意的是什么挑起来这个事件的热度，明明身边有那么多恶劣事件，偏偏这件事热搜占榜，甚至性别对立，我无法理解
Charles_Oliveira,https://m.bilibili.com/video/BV1KT4y1j7aV?spm_id_from=333.337.search-card.all.click&vd_source=cc566db912c324cf004a02d323213dad
福建小王动,一半的评论无故消失[吃瓜]
火锅大小姐,建议B站把私信取消😤有什么话大家公开说！光明正大！
吾乃邪王真眼第五世,【女子实名举报唐山黑社会，疑遭派出所要求删视频：求你删了不合适-哔哩哔哩】 https://b23.tv/ehP2O8f
Standworld,"出事了敢还手吗，B站那么怂得网站也有很多案件显示有人挨打，挨打的人还手结果给自己惹是非。

如果还手就等于参与打架了，结果俩人都不好过。

如果遇到类似的事情该怎么办，不知道。该勇敢还手吗，有还手得勇气，没有打完以后应对后续得勇气。"
丢了云无月,刚看了完整视频，突然发现今天穿的衣服跟那个打人的黑衣服男人撞衫了…
cccc旋转门,弹幕网络刑法十年起步，典
账号已注销,不会真有人冲张三来的吧。。。
建议您和大卡车贴贴呢,能赢的吗？很蓝的啦
阿拉菠萝吃凤梨,真性情
bili_49240930997,这难道不算危害公共安全么？[辣眼睛][辣眼睛]你只是好好吃个饭，就这样
路客客啊,https://b23.tv/BV1oa411L7EZ
你仨大爺,老罗要是可以出战，对方全进去
原来这人叫邓伦,罗老师都说是“见义勇为”了，难道你们那里见义勇为判几年？唉，真的不想骂人。[嫌弃]
英短Anna,对那些冷眼旁观的社会人严厉追责
Zyxr007,如果我是个女的，在外面吃饭，遇到这种情况肯定马上跑
姆球死肥宅,"失望，太失望了。
回山里吧😄"
捏嘿1之星,张口死刑起步呗
内个杀手一米七,如果执法者都是“罗翔”，那我们就安全多了
此人流言怎样,众筹请罗老师出山[保佑]
彪哩哩,年度只能无能气哭事件
深藏不露的含蓄,唐山可不兴去啊
只要苟且白嫖远方,这个事件最让人的气氛的不是打人者，而是旁边人的冷漠！生活好了，但是社会人性都在退步
swooshes,B张排行榜居然只有这一个视频是社会热点[微笑]
爱吃兔子酱,我不会出手帮助
轻风轻缓,所以到底打架的原因是什么呀？
毒弓与小猪,如果那个女生是自己的女朋友或者家人，怎么办？带入一下就觉得很恐怖。
MaoMiYeah,怎么没人会带入自己是受害者呢，都觉得自己是旁观者？
瓜大的剑八,关我
遗憾的小宇,请您超常发挥 送他们无期
颜回oo,希望这件事不止三天热度[大哭][大哭][大哭]
秋鹿新葉ちゃん,罗老师2021年一整年没有一条视频播放量破千万，今年的这条视频反而在一天内破了千万播放量，可以看出此事件对社会造成的恶劣影响如此之大。
给糖,刚看到时是很气愤的，后来看到网上一种说法，觉得有一定的可能性，女的和男的认识的，并且有怨在先，不然很难解释不相识的人见面十多秒直接打的这么狠啊，当然这是我这种普通人期望的设想，不然我活在这种陌生人可以下死手的世界太可怕了>_<
波风桐人,挺身而出一起挨打[吃瓜]
新橙丶,支持死刑
奶芋脆啵啵,不是冷漠只是害怕，不能冲动上去跟着斗殴怕自己被打，但是不会冷眼旁观，会想办法救女孩，至少得让自己心里那道坎过去。不是理中客，只是害怕当时的情景，代入我是女孩会怎么样，代入我是路人会怎么样，我好怕
与帆a,明明连站起来愤怒的勇气都没有，却已经在委屈大喊因为见义勇为而遭受不公平待遇了，你明明麻木的不像个人。
