用户名,评论
话糙理不糙的我,说实话我看着很气愤，但我在现场不会挺身而出，最多时候打110，120，因为我一个人干不过对方七八个人，就算我偷袭得手最多也只能打翻两个其他的败类就反应过来袭击我，但是见义勇为又不适用无限防卫，徒手和剩下六七个败类对打，你还无法保证对方不会动刀，说实话你见义勇为的风险甚至远超被打的姑娘，怎么见义勇为？难道个个都去拜甄子丹大哥为师，然后“打十个”？
諸滅不絕,这已经是故意杀人未遂了吧[Kizuna AI_无语]
永遠の願い,罗老师讲解下，到底这次打人者的行为是否涉及刑法中行凶的定义，加害一方涉嫌9个人，被侵害者4人还是女生，明显实力不对等。当行为升级到多人持械加害时，是否赋予见义勇为者特殊防卫权？
蒜泥走运,"反正我路上看到穿boy夹挎包的都躲着走

我男的"
青青梓木林,那个监控视频最开头，穿绿衣服那男的进来说过一句“把那女的怼路边草了”，然后他才去摸女孩的背。所以女孩子的反应会那么大
-栾蟇-,非常感动罗老师提到了性别平等的问题[委屈]这个事件反应了很多社会乱象，其中的一个就是觉得【女人不接受男人搭讪就该被打】。女孩们实在是太害怕了，已经不敢再期待男性的保护，只希望尚有同理心的男同胞不要漠视女性被侵害的痛苦还说风凉话[拥抱]女性的焦点不是对立而是平等，不是对立而是平等，不是对立而是平等。
麻球猪,我们班主任三观非常有问题，自己不理解事情原委看了几条短视频今天就在课堂上跟我们大谈特谈，非说那几个女生凌晨去吃烧烤有问题，说那几个女生也不是省油的灯，说什么要是他碰见那种男的他早都走了什么的，说人家呢女生非要跟男的吵架，说那几个女生不应该骂那些男的，说完还在那笑，说那几个男的被抓了，结果再看什么的[吐][吐][吐]
-江海阔,"总有人道德绑架周围人？
见义勇为是值得嘉奖，但最好能保证自己安全。
南京胖哥见义勇为导致自己后半辈子生活都很难。
而且面对这么多人，大多数人都会保证自己安全吧？
如果是一个人，我估计都会上的。"
伊月俊_official,谢谢你，罗老师，昨天真的很生气，把我气哭了，晚上和我妈谈这件事又吵了一架，被我妈又气哭了，然后做噩梦醒了就吐了还腹泻……刚刚起床浑身无力的时候就看到了罗老师发的视频，感觉好点了，谢谢罗老师愿意为这些女孩发声[大哭][大哭][大哭]
假装是只棉花糖,不要扫射全体男性，消防员缉毒警察边防战士都是男性多，但是也不要扯什么和性别无关，这件事就是和性别有关，女性受到骚扰更多，力量也更加弱势，承认性别弱势不应该是性别对立，把这统归为性别对立才是真的对立吧
奇异的奇迹,看了视频，真的没有人敢劝架，唯一一个劝架的还被推磕到了后脑勺…
牛和善,一群人先紧张起性别对立了，忘了为正义发声，讨论的是另外的事情，舍本逐末
写给穹的情书,昨晚因为这个事和对象闹矛盾，愉快分手
山水莫负,而且，我想说，那个说“想x你”的是真的！我今天特意把声音放到最大看回放去验证真伪，真的说了！是那个男的又回到女孩子桌子旁边，他又去扒拉女孩子了！女孩子问“你干啥啊！！”男的说了句“想x你”！把声音放到最大，仔细听！注意我说的地方，真的有这三个字！！[大哭]
云狗君,不用那么苛责自己，趋利避害是刻在DNA里的本能，大家都是普通人。我们可以用最大的掌声和最美的鲜花去赞赏挺身而出的人，但是我们绝没有权力去要求每一个人都必须挺身而出。我们应该允许每个人既可以因为自己的勇敢而感到骄傲，也不必为自己一时的退缩而过度贬低自己。
漫天飞舞雪,视频都不敢看完，真的有够恶心，终于刚刚是看到这帮垃圾都被抓起来了。但是看到有心人把矛头转向路人或者男人，这个讨论的性质就算是变了。他们完全不在意这些被打的人有多可怜，只用最亮眼的标题或者回复来吸引大众眼球。从头到尾最惨的也只有被打的这几个女孩子[tv_难过]
E_lizard_Eeee,里面有一段视频就是才打起来时一个小姐姐害怕地抱紧她男朋友 后开打到门外那个小姐姐挣脱她男朋友冲出去想帮那个被打的女生 后来被她男朋友抱住不让她走她还在挣扎[大哭][大哭]我一下子就哭了
MoonquakesLucy,我是男生，如果我在现场我百分百光速跑路，因为受害人可能跟我素不相识，她不值得让我冒着受伤，死亡的代价上去帮忙，我会快速离开后打电话报警，因为我还有父母要养，如果被害人是我的妻女，我的母亲姐妹，那我毫不怀疑我会上去拿刀跟他们拼命，这是两种不一样的情况，所以部分女性不要指责冷眼旁观的人群了，他们也会害怕，他们也上有老下有小，不要再aoe全体男性了，这件事情的本质是一个恶劣的暴力治安事件，不是树立男女对立的靶子。
枫原那啥子萬葉,"BV1DW4y167iX
BV1Ef4y1f7aM
BV1nY4y137je"
藕荷丶,旁观者不愿挺身而出那是本分，但是在网络上说女孩不应该用就酒瓶反击的属实是大纱币。
杰神166,大家仔细听视频开头，绿衣服男子说待会把这几个女的怼路边c了（顶我上去让更多人看到）
高冷de艾莉丝,老师！我想请教一下，为什么不可以是故意杀人未遂呀？我看那些打人者对着女生头部一顿拳打脚踢的，难道不能算有杀人的故意嘛？至少也可能是间接故意吧？就是知道有死亡的可能还放任这个可能性发生。。[撇嘴][撇嘴][撇嘴]
是博博子,如果我不能安全的晚上去吃烧烤，如果我不能安全的晚上穿着裙子与同学去玩，那么我为什么还要相信这个社会？[tv_思考][tv_思考][tv_思考][tv_思考]
账号已注销,"我发布了一篇笔记，快来看看吧
我国刑法的故意伤害罪有轻伤 重伤和致人死亡 刑罚分别是三年以下有期徒刑拘役或管制 致人重伤是3年到10年有期徒刑 致人死亡或者以特别残忍手段致人重伤 造成...
https://www.bilibili.com/h5/note-app/view?cvid=19257169&pagefrom=comment&richtext=true"
灿白飞咻超甜der,我耗尽了笔墨 期待世人警醒 我耗尽了生命 企图换来正义
sinkol7,BV1aU4y127xz
别来吴恙_,过了一个月回来看这个，竟然一个月没有任何音讯了[脸红]
莫白吖吖吖丶,"我不明白很多人说什么为啥不上前制止啥的，这里我有几个理由:
1.双方我都不认识，我没有义务上前制止。
2.对方人多势众，我单人上前。可能帮不到忙，反而害了自己。
3.对方醉酒，本身意识不太清楚。下手没轻没重。
最后，我想说的是，遇到这样的事，最好是保证自己安全情况下报警。所以，那些说什么旁边的人冷血无情，不上前帮忙，甚至说什么中国男人都是窝囊废的，请你积点口德吧。"
Mind-Reading,注意！！！请各位再次听原视频对话，这几个当时可能要在街头强暴受害者！！！请各位扩散！！！
骛瓷夹子,BV1Ef4y1f7aM  讲讲这个?
Ttttttttt-Y,“她是遇难的我，我是幸存的她。”
威尔逊_包,https://b23.tv/BV1it4y1H7Ut
怒虎喵呜喵呜,16岁男孩听到“救命”下河救人溺亡，知情人说其实是只狗坠河
疑光,在这么严肃的视频里还玩JOJO梗的人你以为你很幽默？？？？？？？？？？？
无敌暗黑暴龙机甲战士,张雨绮敢发声，因为她不在现场。旁观者不敢上前，因为真的会挨打
浮升一日,这件事最让人气愤的应该是大家首先不是看到黑恶势力猖獗，而是关注性别对立
Noayyyeh,把原视频音量调最大，那个绿外套打人男进面看了一眼女孩，然后给那几个男的说的是要把那个女的怼路边Cao，然后走到那个女孩身边摸，那个女孩问他干啥呀你，打人男说🌿你（复制的，望周知🙏）
是灯灯呐,我觉得最恐怖和气愤的是，监控画面最开始，男的和那几个人说:把那几个女的怼路边给c了。我是真的听见了，很大声很清楚，大家真的可以去听听。如果当时女的没有反抗，那他们三个可能会被十几个人随便拖到不知道哪一个巷子里面了，他们会怎么样，能不能活都是个问题……
飞扬的记忆,我不指责旁人，但我如果在场，我会上去制止，哪怕头破血流，哪怕英勇献身。
古典巫师毁灭隆音,当有人指责你没有上去见义勇为的时候，你最好真的在旁边围观[呲牙]
账号已注销,我是一个退伍兵，我的儿子脑梗死了。麻烦帮助我们
熙熙阿远,凡是有这种事情 就有一堆 受害者有罪论 不知道那些人脑子在想什么[微笑]
SRoud,本来就是一起一般的刑事犯罪，不知道怎么扯到男女对立，只能说麻木了，就这样吧
病病秧,为什么同样的性质甚至更严重的后果的未成年人霸凌事件就无法产生这么大的能量呢？？是因为大家已经过了学生时代，没有代入感吗？？？
真二次元刀酱一刀哥,BV1Ef4y1f7aM 出一期视频啊
账号已注销,网上都已经搜不到了，真不感相信，上学的时候学这么多年道法政治，结果看见现实就是完全两码事
我突然釋怀地笑,16岁男孩听到“救命”下河救人溺亡，知情人：其实是只狗坠河
